`torch_dtype` is deprecated! Use `dtype` instead!
Loading checkpoint shards:   0%|          | 0/5 [00:00<?, ?it/s]Loading checkpoint shards:  20%|██        | 1/5 [00:23<01:35, 23.85s/it]Loading checkpoint shards:  40%|████      | 2/5 [00:43<01:04, 21.35s/it]Loading checkpoint shards:  60%|██████    | 3/5 [01:02<00:40, 20.14s/it]Loading checkpoint shards:  80%|████████  | 4/5 [01:18<00:18, 18.64s/it]Loading checkpoint shards: 100%|██████████| 5/5 [01:25<00:00, 14.52s/it]Loading checkpoint shards: 100%|██████████| 5/5 [01:25<00:00, 17.14s/it]
The new embeddings will be initialized from a multivariate normal distribution that has old embeddings' mean and covariance. As described in this article: https://nlp.stanford.edu/~johnhew/vocab-expansion.html. To disable this, use `mean_resizing=False`
The new lm_head weights will be initialized from a multivariate normal distribution that has old embeddings' mean and covariance. As described in this article: https://nlp.stanford.edu/~johnhew/vocab-expansion.html. To disable this, use `mean_resizing=False`
[train] epoch=0 step=4250 loss=0.0763 a2t_avg=0.1409 i2t_avg=0.1434 emb_norm_mean=1.7188 emb_norm_std=1.0938 head_norm_mean=0.3809 head_norm_std=0.0204
[train] epoch=0 step=4300 loss=0.1685 a2t_avg=0.1410 i2t_avg=0.1435 emb_norm_mean=1.7188 emb_norm_std=1.0938 head_norm_mean=0.3809 head_norm_std=0.0206
[train] epoch=0 step=4350 loss=0.0892 a2t_avg=0.1410 i2t_avg=0.1434 emb_norm_mean=1.7188 emb_norm_std=1.1016 head_norm_mean=0.3809 head_norm_std=0.0208
[train] epoch=0 step=4400 loss=0.0732 a2t_avg=0.1411 i2t_avg=0.1435 emb_norm_mean=1.7188 emb_norm_std=1.1016 head_norm_mean=0.3809 head_norm_std=0.0211
[train] epoch=0 step=4450 loss=0.1473 a2t_avg=0.1411 i2t_avg=0.1434 emb_norm_mean=1.7188 emb_norm_std=1.1016 head_norm_mean=0.3809 head_norm_std=0.0211
[train] epoch=0 step=4500 loss=0.2557 a2t_avg=0.1410 i2t_avg=0.1435 emb_norm_mean=1.7188 emb_norm_std=1.1016 head_norm_mean=0.3809 head_norm_std=0.0212
[train] epoch=0 step=4550 loss=0.2171 a2t_avg=0.1408 i2t_avg=0.1436 emb_norm_mean=1.7266 emb_norm_std=1.1016 head_norm_mean=0.3809 head_norm_std=0.0214
[train] epoch=0 step=4600 loss=0.0717 a2t_avg=0.1407 i2t_avg=0.1437 emb_norm_mean=1.7266 emb_norm_std=1.1016 head_norm_mean=0.3809 head_norm_std=0.0212
[train] epoch=0 step=4650 loss=0.1714 a2t_avg=0.1406 i2t_avg=0.1439 emb_norm_mean=1.7266 emb_norm_std=1.1016 head_norm_mean=0.3809 head_norm_std=0.0211
[train] epoch=0 step=4700 loss=0.1088 a2t_avg=0.1405 i2t_avg=0.1437 emb_norm_mean=1.7266 emb_norm_std=1.1016 head_norm_mean=0.3809 head_norm_std=0.0214
[train] epoch=0 step=4750 loss=0.1897 a2t_avg=0.1405 i2t_avg=0.1437 emb_norm_mean=1.7266 emb_norm_std=1.1016 head_norm_mean=0.3809 head_norm_std=0.0215
[train] epoch=0 step=4800 loss=0.1304 a2t_avg=0.1404 i2t_avg=0.1437 emb_norm_mean=1.7266 emb_norm_std=1.1094 head_norm_mean=0.3809 head_norm_std=0.0216
[train] epoch=0 step=4850 loss=0.1345 a2t_avg=0.1404 i2t_avg=0.1436 emb_norm_mean=1.7344 emb_norm_std=1.1094 head_norm_mean=0.3809 head_norm_std=0.0217
